TournamentId,GameId,TournamentName,StartDate,EndDate,Location,TotalUSDPrize
33541,558,FB5,23/03/2019,24/03/2019,"Bloomington, Indiana",2530
33614,1,Go4CS:GO EU #348,24/03/2019,24/03/2019,Online,112.97
33453,534,GrubHub Sunday Showdown week 5,24/03/2019,24/03/2019,Online,3000
33506,573,Madden NFL 19 Canadian Challenge,24/03/2019,24/03/2019,"Toronto, Canada",15000
33521,443,March of Legends (EU),23/03/2019,24/03/2019,Online,1000
33478,426,Overwatch League - Season 2 Stage 1,14/02/2019,24/03/2019,"Los Angeles, United States",500000
33503,2,Strong Esports: 2k Invitational Series #2,24/03/2019,24/03/2019,Online,2000
33443,549,XP Esports Queensland Pro AM 2019,23/03/2019,24/03/2019,"Brisbane, Australia",5325
33447,1,A1 Gaming League Season 1,23/03/2019,23/03/2019,"Sofia, Bulgaria",3292.9
33499,549,Asia Championship 2019,23/03/2019,23/03/2019,Hong Kong,20000
33442,1,BLAST Pro Series: São Paulo 2019,22/03/2019,23/03/2019,"São Paulo, Brazil",230000
33441,1,BLAST Pro Series: São Paulo 2019 Pro Standoff,23/03/2019,23/03/2019,"São Paulo, Brazil",20000
33483,558,CTGamercon,23/03/2019,23/03/2019,"Uncasville, Connecticut",2871
33448,1,Dustin Expo Open,23/03/2019,23/03/2019,"Stockholm, Sweden",5385
33522,443,e-sport4u Double Elimination #33 (EU & NA),23/03/2019,23/03/2019,Online,200
33440,534,Mother of the nation festival - Fortnite tournament,22/03/2019,23/03/2019,Abu Dhabi,13342.42
33536,439,Oceanic Cup 2019,16/03/2019,23/03/2019,Sydney,17750
33497,1,Stage142 2019 CS:GO,22/03/2019,23/03/2019,"Jyväskylä, Finland",2262.64
33482,443,Surf League 1v1s,23/03/2019,23/03/2019,Online,34.5
33493,2,UMG Apex Legends Series Week 3,23/03/2019,23/03/2019,Online,3000
33540,558,WSA: Sword,23/03/2019,23/03/2019,"Waterville, ME",660
33528,443,XP All Stars 2v2,23/03/2019,23/03/2019,Online,100
33471,1,CIS ESPORTS LEAGUE CHALLANGER MARCH PART #2,15/03/2019,22/03/2019,Online,625
33486,443,FNB 2019 NA #2,22/03/2019,22/03/2019,Online,100
33504,2,Strong Esports: 1k Invitational Series #2 - Qualifier,22/03/2019,22/03/2019,Online,500
33519,1,ECS S7 - Europe Series 2,18/03/2019,21/03/2019,Online,25000
33518,1,ECS S7 - NA Series 2,18/03/2019,21/03/2019,Online,25000
33438,1,FACEIT Pro League EU March Week #3 2019 (CS:GO),13/03/2019,20/03/2019,Online,5200
33446,1,LOOT.BET Hotshot Series Season 2: CIS Qualifier,18/03/2019,20/03/2019,Online,2500
33433,1,LOOT.BET/CS Season 1,04/02/2019,20/03/2019,Online,30000
33439,1,FACEIT Pro League NA 12/03 -19/03 2019 (CS:GO),12/03/2019,19/03/2019,Online,10000
33491,2,Apex Arena Weekly #5,17/03/2019,17/03/2019,Online,150
33389,549,CWL 2019 Fort Worth,15/03/2019,17/03/2019,"Fort Worth, TX",325000
33378,549,CWL 2019 Fort Worth (Open),15/03/2019,17/03/2019,"Fort Worth, TX",75000
33368,443,Final Round 2019 (Brawlhalla 1v1s),16/03/2019,17/03/2019,"Atlanta, USA",660
33387,443,Final Round 2019 (Brawlhalla 2v2s),15/03/2019,17/03/2019,"Atlanta, USA",200
33420,443,Final Round 2019 (Brawlhalla Doubles),15/03/2019,17/03/2019,"Atlanta, Georgia",10000
33419,443,Final Round 2019 (Brawlhalla Singles),16/03/2019,17/03/2019,"Atlanta, Georgia",10000
33366,541,Final Round 2019 (DBFZ),15/03/2019,17/03/2019,"Atlanta, USA",1460
33396,536,Final Round 2019 (SFV:AE),15/03/2019,17/03/2019,"Atlanta, USA",18270
33379,558,Final Round 2019 (SSBU Singles),16/03/2019,17/03/2019,"Atlanta, USA",1600
33397,406,Final Round 2019 (T7),15/03/2019,17/03/2019,"Atlanta, USA",2960
33434,1,Go4CS:GO EU #347,17/03/2019,17/03/2019,Online,113.27
